modelo,temperatura,pais,categoria,dificultad,pregunta,respuesta,judge_label
GPT,0.4,argentina,dish,DIFÍCIL,¿Qué características posee la Dorada Pampeana que balancean el dulzor de las maltas?,"La Dorada Pampeana posee características como un amargor moderado, notas cítricas y herbales, así como un perfil de lúpulo que complementa y equilibra el dulzor de las maltas. Esto crea una cerveza refrescante y bien balanceada.",parcial
GPT,0.4,argentina,dish,FÁCIL,¿Dónde nació Antonio Gonzaga?,"Antonio Gonzaga nació en Mantua, Italia.",alucinacion
GPT,0.4,argentina,dish,INTERMEDIA,¿De qué ingredientes está hecho el Bamiyeh?,"El Bamiyeh, un plato típico de la cocina árabe, está hecho principalmente de okra, carne (generalmente cordero o res), cebolla, tomate, ajo y especias como comino y pimienta. A menudo se sirve con arroz.",alucinacion
GPT,0.4,argentina,fauna,DIFÍCIL,¿Qué características distintivas tiene el pelaje de Abrothrix lanosus y en qué tipo de hábitat se encuentra?,"El pelaje de Abrothrix lanosus es denso, suave y lanoso, con un color que varía entre gris y marrón. Este roedor se encuentra principalmente en hábitats de alta montaña, como praderas y pastizales en la cordillera de los Andes.",parcial
GPT,0.4,argentina,fauna,FÁCIL,¿Qué tipo de especie es Trachemys dorbigni?,Trachemys dorbigni es una especie de tortuga de agua dulce perteneciente a la familia Emydidae.,correcta
GPT,0.4,argentina,fauna,INTERMEDIA,¿Dónde se encuentra Lysapsus limellum?,"Lysapsus limellum se encuentra en áreas de agua dulce en América del Sur, especialmente en Brasil y partes de la cuenca del Amazonas.",parcial
GPT,0.4,argentina,flora,DIFÍCIL,¿Qué características distintivas tiene Alstroemeria apertiflora y en qué bioma crece principalmente?,"Alstroemeria apertiflora se caracteriza por sus flores grandes y coloridas, con pétalos que pueden variar en tonos de amarillo a naranja. Sus hojas son alargadas y de un verde intenso. Esta especie crece principalmente en biomas de tipo montano y en regiones de clima templado, especialmente en áreas de Chile y Argentina.",parcial
GPT,0.4,argentina,flora,FÁCIL,¿Qué tipo de planta es Tillandsia peiranoi?,"Tillandsia peiranoi es una planta epífita, perteneciente a la familia de las bromelias.",correcta
GPT,0.4,argentina,flora,INTERMEDIA,¿Dónde es endémica Echinopsis thelegona?,Echinopsis thelegona es endémica de Argentina.,parcial
GPT,0.4,argentina,geography,DIFÍCIL,¿Qué características geográficas y oceanográficas tiene la bahía Relegada?,"Lo siento, pero no tengo información específica sobre una ""bahía Relegada"". Podría ser un nombre menos conocido o un error tipográfico. Si puedes proporcionar más contexto o el nombre correcto, estaré encantado de ayudarte.",abstencion
GPT,0.4,argentina,geography,FÁCIL,¿Qué fue el corregimiento de Aconcagua?,"El corregimiento de Aconcagua fue una división administrativa colonial en el territorio de lo que hoy es Chile, que existió durante el periodo colonial español. Se estableció en el siglo XVI y su nombre proviene del río Aconcagua. Este corregimiento abarcaba áreas que hoy forman parte de la Región de Valparaíso y estaba bajo la administración de un corregidor, encargado de la justicia y la gobernanza local.",correcta
GPT,0.4,argentina,geography,INTERMEDIA,¿Dónde se encuentra la bahía Golondrina?,"La bahía Golondrina se encuentra en la costa del estado de Baja California Sur, México, cerca del Parque Nacional Cabo Pulmo.",alucinacion
GPT,0.4,argentina,tradition,DIFÍCIL,¿Qué reconocimiento recibió el Quinteto Santa Fe en 2014 y por quién?,"En 2014, el Quinteto Santa Fe recibió el reconocimiento de ""Mejor Banda de Jazz"" en los Premios Gardel, otorgados por la Cámara Argentina de Productores de Fonogramas y Videogramas.",alucinacion
GPT,0.4,argentina,tradition,FÁCIL,¿Dónde nació Raúl Barboza?,"Raúl Barboza nació en Formosa, Argentina.",alucinacion
GPT,0.4,argentina,tradition,INTERMEDIA,¿Qué instrumento tocó Oscar Alem antes de pasarse al piano?,Oscar Alem tocó el acordeón antes de pasarse al piano.,alucinacion
GPT,0.4,bolivia,dish,DIFÍCIL,¿En qué celebraciones mayores suele ser incluida la sajta de pollo y qué variantes se encuentran dependiendo de la región?,"La sajta de pollo suele ser incluida en celebraciones mayores como fiestas patronales, bodas y festividades familiares en varias regiones de Perú. Las variantes dependen de la región, por ejemplo, en la sierra se puede preparar con ají amarillo y papas, mientras que en la costa se le pueden añadir otros ingredientes como aceitunas y huevo duro.",parcial
GPT,0.4,bolivia,dish,FÁCIL,¿Qué es el majadito?,"El majadito es un plato típico de la cocina boliviana, especialmente de la región de Santa Cruz. Se elabora principalmente con arroz, carne (generalmente de res o pollo), plátano y especias. Se cocina todo junto, lo que le da un sabor característico y es muy apreciado en la gastronomía local.",correcta
GPT,0.4,bolivia,dish,INTERMEDIA,¿Con qué alimento se suele comer la sopa de cacahuete en Ghana?,La sopa de cacahuete en Ghana se suele comer con arroz o con fufu.,parcial
GPT,0.4,bolivia,fauna,DIFÍCIL,¿Cuántas subespecies de Pseudastur albicollis se conocen?,Se conocen dos subespecies de Pseudastur albicollis.,parcial
GPT,0.4,bolivia,fauna,FÁCIL,¿Qué tipo de especie es Spectrolebias bellidoi?,Spectrolebias bellidoi es una especie de pez de agua dulce perteneciente a la familia Rivulidae.,parcial
GPT,0.4,bolivia,fauna,INTERMEDIA,¿Cuál es la longitud total que pueden alcanzar los machos de Acanthopoma annectens?,Los machos de Acanthopoma annectens pueden alcanzar una longitud total de hasta 20 cm.,alucinacion
GPT,0.4,bolivia,geography,DIFÍCIL,¿Qué ecosistemas se encuentran en el Parque regional Yacuma y con qué otras áreas protegidas está asociado?,"El Parque Regional Yacuma alberga ecosistemas de humedales, bosques inundables y sabanas. Está asociado con áreas protegidas como la Reserva de la Biosfera Manuripi y el Parque Nacional Madidi.",parcial
GPT,0.4,bolivia,geography,FÁCIL,¿Qué tipo de lugar es la Laguna del Becerro?,"La Laguna del Becerro es un espacio natural, generalmente considerado un humedal o laguna, que puede ser un hábitat para diversas especies de flora y fauna.",correcta
GPT,0.4,bolivia,geography,INTERMEDIA,¿En qué municipio se encuentra la Laguna de San Nicolás?,"La Laguna de San Nicolás se encuentra en el municipio de San Nicolás de los Garza, Nuevo León, México.",alucinacion
GPT,0.4,bolivia,public_figure,DIFÍCIL,¿Qué relación tuvo Antonio Ávila Jiménez con la Guerra del Chaco y qué cargo ocupó en el servicio diplomático?,"Antonio Ávila Jiménez fue un diplomático boliviano que tuvo un papel importante durante la Guerra del Chaco (1932-1935) entre Bolivia y Paraguay. Ocupó el cargo de Ministro de Relaciones Exteriores de Bolivia durante ese conflicto, donde su labor fue crucial en la gestión de las relaciones internacionales y la defensa de los intereses bolivianos.",parcial
GPT,0.4,bolivia,public_figure,FÁCIL,¿Cuándo nació Gary Daher Canedo?,"Lo siento, pero no tengo información sobre Gary Daher Canedo.",abstencion
GPT,0.4,bolivia,public_figure,INTERMEDIA,¿Qué partido político fundó José Antonio Arze?,José Antonio Arze fundó el Partido Nacionalista Revolucionario (PNR) en Bolivia.,alucinacion
GPT,0.4,bolivia,tradition,DIFÍCIL,¿Qué contribución significativa hizo Mauro Núñez al charango en el contexto de la música boliviana?,"Mauro Núñez es reconocido por su innovador enfoque en la interpretación y composición para el charango, fusionando estilos tradicionales con influencias contemporáneas. Su trabajo ha ayudado a popularizar el charango en la música boliviana y ha contribuido a su reconocimiento internacional, revitalizando el interés por este instrumento.",parcial
GPT,0.4,bolivia,tradition,FÁCIL,¿Qué es el pepino en el contexto cultural de Bolivia?,"En el contexto cultural de Bolivia, el pepino se refiere a una planta que se utiliza en la gastronomía local, especialmente en ensaladas y platos tradicionales. Además, en algunas regiones, el pepino puede tener connotaciones simbólicas en festividades y rituales, representando frescura y abundancia.",alucinacion
GPT,0.4,bolivia,tradition,INTERMEDIA,¿En qué se acompaña el taquipayanaku durante su interpretación?,"El taquipayanaku se acompaña generalmente de instrumentos musicales tradicionales como la guitarra, el charango y la zampoña, además de la percusión con bombos y platillos. También puede incluir danzas y vestimenta típica de la región andina.",parcial
GPT,0.4,chile,dish,DIFÍCIL,¿Cuáles son las dos zonas vitícolas que incluye el Valle de Curicó y qué características climáticas se destacan en esta subregión?,"El Valle de Curicó incluye las zonas vitícolas de Curicó y Lontué. Las características climáticas que se destacan en esta subregión son un clima mediterráneo, con veranos cálidos y secos, e inviernos frescos y lluviosos, lo que favorece el cultivo de diversas variedades de uva.",parcial
GPT,0.4,chile,dish,FÁCIL,¿Qué nombre común recibe el Choromytilus chorus?,"El Choromytilus chorus es comúnmente conocido como ""mejillón chileno"".",alucinacion
GPT,0.4,chile,dish,INTERMEDIA,¿En qué región vitícola se encuadra el Valle del Marga-Marga?,"El Valle del Marga-Marga se encuadra en la región vitícola de la Región de Valparaíso, Chile.",parcial
GPT,0.4,chile,flora,DIFÍCIL,¿Qué medidas de protección se han implementado para Jubaea chilensis desde 1974?,"Desde 1974, se han implementado varias medidas de protección para Jubaea chilensis, incluyendo su declaración como especie protegida en Chile, la creación de áreas de conservación, programas de reforestación y la regulación de su explotación. Además, se han realizado esfuerzos para educar a la población sobre su importancia ecológica y cultural.",parcial
GPT,0.4,chile,flora,FÁCIL,¿Qué tipo de especie es Alstroemeria huemulina?,Alstroemeria huemulina es una especie de planta herbácea perenne perteneciente a la familia Alstroemeriaceae.,parcial
GPT,0.4,chile,flora,INTERMEDIA,¿En qué planta fue aislada la laurolitsina además del boldo?,"La laurolitsina también fue aislada de la planta ""Peumus boldus"", además de ser encontrada en ""Laurus nobilis"" (laurel).",alucinacion
GPT,0.4,chile,geography,DIFÍCIL,¿Qué municipios reúne el Gran Valparaíso y cuál es su municipio principal?,"El Gran Valparaíso reúne los municipios de Valparaíso, Viña del Mar, Quilpué, Villa Alemana, Concón, Puchuncaví y Algarrobo. Su municipio principal es Valparaíso.",parcial
GPT,0.4,chile,geography,FÁCIL,¿Qué tipo de lugar es Puerto Río Tranquilo?,"Puerto Río Tranquilo es una pequeña localidad en la Región de Aysén, Chile, conocida por su belleza natural, especialmente por las formaciones de mármol en el Lago General Carrera y su entorno montañoso. Es un destino turístico popular para actividades al aire libre como el senderismo y el kayak.",correcta
GPT,0.4,chile,geography,INTERMEDIA,¿Qué microalga fue responsable de la crisis de la marea roja en Chiloé de 2016?,La microalga responsable de la crisis de la marea roja en Chiloé en 2016 fue *Alexandrium catenella*.,correcta
GPT,0.4,chile,public_figure,DIFÍCIL,¿Qué ocupaciones tuvo Jorge Jobet y en qué institución fue director de la Escuela de Periodismo?,Jorge Jobet fue periodista y político chileno. Se desempeñó como director de la Escuela de Periodismo de la Universidad de Chile.,parcial
GPT,0.4,chile,public_figure,FÁCIL,¿Dónde nació Camilo José Vergara?,"Camilo José Vergara nació en Santiago, Chile.",correcta
GPT,0.4,chile,public_figure,INTERMEDIA,¿En qué institución trabajó Próspero Bisquertt Prado entre los años 1913 y 1923?,Próspero Bisquertt Prado trabajó en la Universidad de Chile entre 1913 y 1923.,alucinacion
GPT,0.4,chile,tradition,DIFÍCIL,¿Quién fue una de las principales figuras que mantuvo la tradición de la loza policromada en Talagante y qué tipo de imágenes recreaba?,"Una de las principales figuras que mantuvo la tradición de la loza policromada en Talagante fue el alfarero Pedro León. Recreaba imágenes de la vida cotidiana, así como escenas religiosas y figuras de la cultura popular chilena.",alucinacion
GPT,0.4,chile,tradition,FÁCIL,¿En qué año fue fundada la banda Amerindios?,La banda Amerindios fue fundada en 1972.,alucinacion
GPT,0.4,chile,tradition,INTERMEDIA,¿En qué año fue fundado el Festival Internacional de Teatro Itinerante por Chiloé Profundo?,El Festival Internacional de Teatro Itinerante por Chiloé Profundo fue fundado en 2004.,alucinacion
GPT,0.4,colombia,dish,DIFÍCIL,¿Qué ingredientes se mezclan en la lulada y cómo se caracteriza su preparación?,"La lulada se prepara principalmente con lulo (un fruto tropical), agua, azúcar y hielo. Se caracteriza por su mezcla de pulpa de lulo, que se bate con agua y azúcar hasta obtener una bebida refrescante y espesa, a menudo servida con hielo picado.",parcial
GPT,0.4,colombia,dish,FÁCIL,¿Qué es la hojaldra?,"La hojaldra es un tipo de masa hojaldrada, generalmente frita, que se utiliza en la preparación de diversos platillos, especialmente en la cocina mexicana. Suele ser dulce o salada y se puede rellenar con ingredientes como frijoles, carne o frutas.",parcial
GPT,0.4,colombia,dish,INTERMEDIA,¿En qué año fue lanzado al mercado el Chocoramo?,El Chocoramo fue lanzado al mercado en 1970.,alucinacion
GPT,0.4,colombia,fauna,DIFÍCIL,¿Por qué está amenazada de extinción Rhinella macrorhina y en qué tipo de hábitat vive?,"Rhinella macrorhina está amenazada de extinción principalmente por la pérdida de su hábitat debido a la deforestación y la degradación ambiental. Esta especie vive en bosques tropicales y subtropicales, así como en áreas cercanas a cuerpos de agua.",parcial
GPT,0.4,colombia,fauna,FÁCIL,¿Qué tipo de especie es Hemidoras stenopeltis?,"Hemidoras stenopeltis es una especie de pez de agua dulce, perteneciente a la familia Doradidae, conocida comúnmente como pez gato.",correcta
GPT,0.4,colombia,fauna,INTERMEDIA,¿Dónde se encuentra Petilipinnis grunniens?,"Petilipinnis grunniens se encuentra en aguas del océano Atlántico, específicamente en la región del Golfo de México.",alucinacion
GPT,0.4,colombia,geography,DIFÍCIL,¿Qué corrientes de aire afectan al Páramo de Frontino y cómo influyen en su clima?,"El Páramo de Frontino se ve influenciado principalmente por corrientes de aire húmedo provenientes del Océano Pacífico y del Caribe. Estas corrientes generan precipitaciones frecuentes y abundantes, lo que contribuye a un clima frío y húmedo característico de la región. Además, la altitud del páramo también juega un papel importante, ya que las temperaturas son más bajas y la humedad se condensa, formando neblina y favoreciendo la biodiversidad del ecosistema.",correcta
GPT,0.4,colombia,geography,FÁCIL,¿Qué tipo de área protegida es el Parque nacional natural Corales de Profundidad?,El Parque Nacional Natural Corales de Profundidad es un área marina protegida en Colombia.,correcta
GPT,0.4,colombia,geography,INTERMEDIA,¿Qué función ejerce un cabildo indígena?,"Un cabildo indígena ejerce funciones de gobierno y administración dentro de una comunidad indígena, promoviendo la autonomía, la defensa de derechos, la gestión de recursos y la preservación de la cultura y tradiciones. Además, actúa como un órgano de representación ante instancias externas.",parcial
GPT,0.4,colombia,public_figure,DIFÍCIL,"¿Qué evento trágico ocurrió durante el ""Tour Pies Descalzos"" en Barranquilla y cuál fue su saldo?","Durante el ""Tour Pies Descalzos"" en Barranquilla, un trágico accidente ocurrió el 25 de septiembre de 1999, cuando un grupo de personas se desmayó debido a la avalancha de público. El saldo fue de 7 personas fallecidas y más de 20 heridas.",alucinacion
GPT,0.4,colombia,public_figure,FÁCIL,"¿Quién es el cantante de la canción ""Gris""?","El cantante de la canción ""Gris"" es el artista español de música urbana, conocido como ""C. Tangana"".",alucinacion
GPT,0.4,colombia,public_figure,INTERMEDIA,"¿Quién es la artista que interpreta ""Dançando""?","La artista que interpreta ""Dançando"" es Ana Carolina.",alucinacion
GPT,0.4,colombia,tradition,DIFÍCIL,¿Cuáles fueron el país y el departamento invitados especiales en la 39.ª edición del Festival Internacional de la Cultura de Boyacá?,"En la 39.ª edición del Festival Internacional de la Cultura de Boyacá, el país invitado especial fue México y el departamento invitado especial fue Nariño.",alucinacion
GPT,0.4,colombia,tradition,FÁCIL,¿Qué es el mapalé?,"El mapalé es un baile tradicional de origen afrocolombiano, especialmente asociado con la región de la costa caribeña de Colombia. Se caracteriza por su ritmo enérgico y movimientos sensuales, y suele ser acompañado por música de tambores y otros instrumentos. Es una expresión cultural que refleja la herencia africana en la música y danza del país.",correcta
GPT,0.4,colombia,tradition,INTERMEDIA,¿En qué lugar tiene un enorme arraigo el Son de Negro?,"El Son de Negro tiene un enorme arraigo en la región de Veracruz, México.",alucinacion
GPT,0.4,costa rica,dish,DIFÍCIL,¿Qué nombre reciben los platanitos en Colombia y cómo se les llama en el departamento de Valle del Cauca?,"En Colombia, los platanitos se conocen como ""patacones"". En el departamento de Valle del Cauca, también se les llama ""tostones"".",alucinacion
GPT,0.4,costa rica,dish,FÁCIL,¿Qué es la gastronomía de la provincia de Limón?,"La gastronomía de la provincia de Limón, en Costa Rica, se caracteriza por su influencia afrocaribeña, con platos típicos como el rice and beans (arroz con frijoles de coco), el patí (empanadas de carne) y el ceviche de pescado. También se destacan los mariscos, el plátano y el uso de especias como el culantro y el ajo. La cocina limonense refleja la diversidad cultural de la región y su cercanía al mar.",correcta
GPT,0.4,costa rica,dish,INTERMEDIA,¿Cuáles son los ingredientes fundamentales de la dieta prehispánica de Mesoamérica?,"Los ingredientes fundamentales de la dieta prehispánica de Mesoamérica incluyen el maíz, los frijoles, el chile, el tomate, la calabaza y el cacao.",parcial
GPT,0.4,costa rica,fauna,DIFÍCIL,¿Por qué está amenazada de extinción Bolitoglossa sooyorum?,"Bolitoglossa sooyorum está amenazada de extinción principalmente debido a la pérdida de su hábitat natural, que se debe a la deforestación y la degradación ambiental. Además, factores como el cambio climático y la contaminación también afectan su supervivencia.",correcta
GPT,0.4,costa rica,fauna,FÁCIL,¿Qué tipo de especie es Pygmodeon excelsum?,Pygmodeon excelsum es una especie de planta.,alucinacion
GPT,0.4,costa rica,fauna,INTERMEDIA,¿En qué país se distribuye Amorbia cocori?,Amorbia cocori se distribuye en México.,alucinacion
GPT,0.4,costa rica,flora,DIFÍCIL,¿En qué tipo de hábitat se desarrolla preferentemente Epiphyllum cartagense y a qué altitudes se encuentra?,"Epiphyllum cartagense se desarrolla preferentemente en hábitats de bosques húmedos y tropicales. Se encuentra a altitudes que varían entre 300 y 1,200 metros sobre el nivel del mar.",parcial
GPT,0.4,costa rica,flora,FÁCIL,¿Qué tipo de planta es Epiphyllum grandilobum?,"Epiphyllum grandilobum es una planta suculenta de la familia Cactaceae, comúnmente conocida como cactus de orquídea. Es una planta epífita que se caracteriza por sus tallos planos y anchos, así como por sus grandes flores que suelen abrirse por la noche.",correcta
GPT,0.4,costa rica,flora,INTERMEDIA,¿En qué tipo de hábitat se encuentra mayormente Ulmus mexicana?,"Ulmus mexicana se encuentra mayormente en bosques templados y zonas de clima húmedo, especialmente en áreas montañosas.",parcial
GPT,0.4,costa rica,geography,DIFÍCIL,¿Cuál es la importancia del descubrimiento del Riftia pachyptila en el contexto de la simbiosis entre invertebrados y bacterias marinas?,"El descubrimiento del Riftia pachyptila, un gusano tubícola que vive en fuentes hidrotermales, es crucial porque ejemplifica una simbiosis única entre invertebrados y bacterias quimiosintéticas. Estas bacterias convierten compuestos químicos del entorno, como el sulfuro de hidrógeno, en energía, permitiendo que el Riftia prospere en condiciones extremas donde la luz solar no llega. Este hallazgo ha ampliado nuestra comprensión de la biodiversidad marina y de las interacciones ecológicas, así como de los mecanismos de adaptación de los organismos a ambientes hostiles.",correcta
GPT,0.4,costa rica,geography,FÁCIL,¿Qué tipo de pez es Chaetodontoplus melanosoma?,Chaetodontoplus melanosoma es un pez marino de la familia de los peces mariposa.,parcial
GPT,0.4,costa rica,geography,INTERMEDIA,¿Dónde se encuentra la especie Panesthia angustipennis?,La especie Panesthia angustipennis se encuentra principalmente en Australia.,alucinacion
GPT,0.4,costa rica,tradition,DIFÍCIL,¿Quiénes fueron los piratas que sembraron el terror en Hispanoamérica y anclaron en el río Jesús María?,"Los piratas que sembraron el terror en Hispanoamérica y anclaron en el río Jesús María fueron los hermanos Morgan, conocidos por sus actividades de piratería en el siglo XVII.",alucinacion
GPT,0.4,costa rica,tradition,FÁCIL,¿Qué agrupa la mitología guatusa?,"La mitología guatusa agrupa las creencias, leyendas y relatos tradicionales del pueblo guatuso, una comunidad indígena de Costa Rica. Esta mitología incluye deidades, espíritus, y narrativas sobre la creación, la naturaleza y la vida cotidiana, reflejando su cosmovisión y conexión con el entorno.",correcta
GPT,0.4,costa rica,tradition,INTERMEDIA,¿Cuántos cuentos tradicionales fueron recopilados originalmente en Cuentos viejos?,"En ""Cuentos viejos"" se recopilaron originalmente 24 cuentos tradicionales.",alucinacion
GPT,0.4,cuba,dish,DIFÍCIL,¿Quién dirigió el proyecto de Coppelia y qué objetivo tenía en relación a las marcas estadounidenses?,"El proyecto de Coppelia fue dirigido por la empresa cubana de ciberseguridad, con el objetivo de crear una alternativa a los servicios de marcas estadounidenses, promoviendo la soberanía digital y la independencia tecnológica de Cuba.",alucinacion
GPT,0.4,cuba,dish,FÁCIL,¿Qué es el cojito?,"El cojito es un término que se utiliza en algunos países de habla hispana para referirse a una persona que tiene una deformidad o discapacidad en una pierna, lo que puede dificultar su movilidad. También puede referirse a un objeto que tiene un diseño o forma irregular. Sin embargo, el uso del término puede variar según el contexto y la región.",alucinacion
GPT,0.4,cuba,dish,INTERMEDIA,¿Qué tipo de forma suelen tener las piezas de pan cubano?,Las piezas de pan cubano suelen tener forma alargada y ovalada.,correcta
GPT,0.4,cuba,fauna,DIFÍCIL,¿Qué características distintivas tiene la jutía rata (Mesocapromys auritus) y cuál es su hábitat específico?,"La jutía rata (Mesocapromys auritus) se caracteriza por su tamaño mediano, cuerpo robusto, orejas grandes y pelaje marrón. Su hábitat específico son los bosques y matorrales de Cuba, donde se encuentra principalmente en áreas de vegetación densa.",parcial
GPT,0.4,cuba,fauna,FÁCIL,¿Qué tipo de especie es Eleutherodactylus bartonsmithi?,Eleutherodactylus bartonsmithi es una especie de rana.,correcta
GPT,0.4,cuba,fauna,INTERMEDIA,¿En qué año fue descrita Leptostylus heticus?,Leptostylus heticus fue descrita en el año 2010.,alucinacion
GPT,0.4,cuba,flora,DIFÍCIL,¿Quién describió el género Hemithrinax y en qué publicación se realizó?,"El género Hemithrinax fue descrito por el botánico estadounidense John Kunkel Small en su publicación ""Flora of the Virgin Islands"" en 1918.",alucinacion
GPT,0.4,cuba,flora,FÁCIL,¿Qué tipo de especie es Ximenia roigii?,"Ximenia roigii es una especie de planta del género Ximenia, perteneciente a la familia Olacaceae. Es un arbusto o árbol pequeño que se encuentra en regiones tropicales y subtropicales.",correcta
GPT,0.4,cuba,flora,INTERMEDIA,¿Dónde se distribuye Machaonia havanensis?,"Machaonia havanensis se distribuye principalmente en áreas de Cuba y algunas partes de Florida, en Estados Unidos.",parcial
GPT,0.4,cuba,geography,DIFÍCIL,¿Cuál fue el impacto del hundimiento del Torrey Canyon en las normas internacionales de navegación?,"El hundimiento del Torrey Canyon en 1967 tuvo un impacto significativo en las normas internacionales de navegación, ya que provocó la implementación de regulaciones más estrictas sobre la seguridad marítima y la protección del medio ambiente. Se establecieron nuevas normativas para la prevención de derrames de petróleo, se mejoraron los estándares de construcción de buques y se promovió la cooperación internacional en la respuesta a desastres marítimos. Además, impulsó la creación de la Convención Internacional sobre la Responsabilidad Civil por Daños Causados por Contaminación por Hidrocarburos (CLC) en 1969.",correcta
GPT,0.4,cuba,geography,FÁCIL,¿Qué tipo de fenómeno meteorológico fue la tormenta tropical Ana?,"La tormenta tropical Ana fue un fenómeno meteorológico que se formó en el océano, caracterizado por vientos sostenidos entre 39 y 73 millas por hora (63 a 118 km/h) y que puede generar fuertes lluvias y condiciones adversas.",correcta
GPT,0.4,cuba,geography,INTERMEDIA,¿En qué año fue construido el SS Yarmouth?,El SS Yarmouth fue construido en el año 1881.,alucinacion
GPT,0.4,cuba,object,DIFÍCIL,¿Cuál es el origen de las claves y para qué se utilizaban inicialmente en Cuba?,"Las claves tienen su origen en la música afrocubana y se utilizaban inicialmente como un instrumento de percusión para marcar el ritmo en la música y en rituales religiosos. Su función era fundamental en la interpretación de géneros como el son y la rumba, ayudando a mantener el compás y a facilitar la comunicación musical entre los músicos.",alucinacion
GPT,0.4,cuba,object,FÁCIL,¿Qué es la guataca?,"La guataca es una herramienta agrícola de mano, similar a una azada, utilizada principalmente para cavar, desherbar y labrar la tierra. Es común en trabajos de agricultura y jardinería.",correcta
GPT,0.4,cuba,object,INTERMEDIA,¿Dónde se documentó por primera vez el uso del bongó?,El uso del bongó se documentó por primera vez en Cuba a finales del siglo XIX.,correcta
GPT,0.4,ecuador,dish,DIFÍCIL,"¿Qué ingredientes autóctonos de la sierra ecuatoriana se agregaron a la fritada, y quién introdujo el cerdo al continente americano?","En la fritada ecuatoriana se suelen agregar ingredientes autóctonos como el maíz, la chocho (lupino) y la yuca. El cerdo fue introducido al continente americano por los colonizadores españoles en el siglo XVI.",parcial
GPT,0.4,ecuador,dish,FÁCIL,¿Qué tipo de empresa es Corporación Fernández?,"Corporación Fernández es una empresa dedicada a la producción y comercialización de alimentos, especialmente conocida por sus productos cárnicos y embutidos.",parcial
GPT,0.4,ecuador,dish,INTERMEDIA,¿Cuáles son los ingredientes principales del mote pillo?,"Los ingredientes principales del mote pillo son el mote (trigo o maíz), cebolla, huevo, cilantro y especias.",parcial
GPT,0.4,ecuador,fauna,DIFÍCIL,¿Cuáles son las características distintivas del Sakí ecuatorial en términos de su comportamiento social y dieta?,"El Sakí ecuatorial, conocido como Saki de cara blanca, se caracteriza por ser un primate social que vive en grupos pequeños, generalmente de 2 a 10 individuos. Su comportamiento social incluye la formación de vínculos fuertes entre los miembros del grupo y la comunicación a través de vocalizaciones. En cuanto a su dieta, es principalmente frugívoro, alimentándose de frutas, pero también incluye hojas, flores e insectos en su alimentación.",parcial
