row_index,model,pais,label_run1,label_run2,label_run3,stable,final_label,variation_detail
0,GPT,argentina,parcial,parcial,parcial,True,parcial,parcial
1,GPT,argentina,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
2,GPT,argentina,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
3,GPT,argentina,parcial,parcial,parcial,True,parcial,parcial
4,GPT,argentina,correcta,correcta,correcta,True,correcta,correcta
5,GPT,argentina,parcial,parcial,parcial,True,parcial,parcial
6,GPT,argentina,parcial,parcial,parcial,True,parcial,parcial
7,GPT,argentina,correcta,correcta,correcta,True,correcta,correcta
8,GPT,argentina,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
9,GPT,argentina,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
10,GPT,argentina,parcial,parcial,parcial,True,parcial,parcial
11,GPT,argentina,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
12,GPT,argentina,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
13,GPT,argentina,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
14,GPT,argentina,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
15,GPT,bolivia,parcial,parcial,parcial,True,parcial,parcial
16,GPT,bolivia,correcta,correcta,correcta,True,correcta,correcta
17,GPT,bolivia,parcial,parcial,parcial,True,parcial,parcial
18,GPT,bolivia,parcial,parcial,parcial,True,parcial,parcial
19,GPT,bolivia,parcial,parcial,parcial,True,parcial,parcial
20,GPT,bolivia,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
21,GPT,bolivia,parcial,parcial,parcial,True,parcial,parcial
22,GPT,bolivia,correcta,correcta,correcta,True,correcta,correcta
23,GPT,bolivia,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
24,GPT,bolivia,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
25,GPT,bolivia,abstencion,abstencion,abstencion,True,abstencion,abstencion
26,GPT,bolivia,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
27,GPT,bolivia,parcial,parcial,parcial,True,parcial,parcial
28,GPT,bolivia,parcial,parcial,parcial,True,parcial,parcial
29,GPT,bolivia,parcial,parcial,parcial,True,parcial,parcial
30,GPT,chile,parcial,parcial,parcial,True,parcial,parcial
31,GPT,chile,alucinacion,alucinacion,alucinacion,True,alucinacion,alucinacion
32,GPT,chile,parcial,parcial,parcial,True,parcial,parcial
33,GPT,chile,parcial,parcial,parcial,True,parcial,parcial
34,GPT,chile,parcial,parcial,parcial,True,parcial,parcial
35,GPT,chile,parcial,parcial,parcial,True,parcial,parcial
36,GPT,chile,parcial,parcial,parcial,True,parcial,parcial
