Entity,Country,Category,Difficulty,Question,Answer
Dorada Pampeana,Argentina,dish,DIFÍCIL,¿Qué características posee la Dorada Pampeana que balancean el dulzor de las maltas?,un cuerpo liviano y un sutil amargor
antonio gonzaga,argentina,dish,FÁCIL,¿Dónde nació Antonio Gonzaga?,Corrientes
Bamiyeh,Argentina,dish,INTERMEDIA,¿De qué ingredientes está hecho el Bamiyeh?,yogur y una masa a base de almidón
Abrothrix lanosus,Argentina,fauna,DIFÍCIL,¿Qué características distintivas tiene el pelaje de Abrothrix lanosus y en qué tipo de hábitat se encuentra?,refiere a largo del pelaje; es endémico de los bosques fríos del extremo austral de Sudamérica
Trachemys dorbigni,Argentina,fauna,FÁCIL,¿Qué tipo de especie es Trachemys dorbigni?,Es una especie de tortuga.
Lysapsus limellum,Argentina,fauna,INTERMEDIA,¿Dónde se encuentra Lysapsus limellum?,"en el centro del Brasil en los estados de Mato Grosso y Rondônia; en el Paraguay; en Bolivia en los departamentos del Beni, Cochabamba, La Paz, Santa Cruz, y Pando; en Argentina en las provincias de Buenos Aires, Corrientes, Chaco, Entre Ríos, Formosa, Santa Fe y Santiago del Estero; y en el Uruguay en las Termas del Arapey en Salto y en el departamento de Artigas."
alstroemeria apertiflora,argentina,flora,DIFÍCIL,¿Qué características distintivas tiene Alstroemeria apertiflora y en qué bioma crece principalmente?,es un geófito tuberoso y crece principalmente en el bioma subtropical
Tillandsia peiranoi,Argentina,flora,FÁCIL,¿Qué tipo de planta es Tillandsia peiranoi?,Es una especie de planta epífita.
Echinopsis thelegona,Argentina,flora,INTERMEDIA,¿Dónde es endémica Echinopsis thelegona?,noroeste de Argentina
bahía relegada,argentina,geography,DIFÍCIL,¿Qué características geográficas y oceanográficas tiene la bahía Relegada?,tiene una profundidad de alrededor de 3000 metros y una superficie total de 158 ha
corregimiento de aconcagua,argentina,geography,FÁCIL,¿Qué fue el corregimiento de Aconcagua?,Una división territorial del Imperio español dentro de la Capitanía General de Chile.
bahía golondrina (bahía),argentina,geography,INTERMEDIA,¿Dónde se encuentra la bahía Golondrina?,en la margen septentrional del canal Beagle
Quinteto Santa Fe,Argentina,tradition,DIFÍCIL,¿Qué reconocimiento recibió el Quinteto Santa Fe en 2014 y por quién?,fue reconocida su trayectoria por la Cámara de Diputados de la Provincia de Santa Fe.
raúl barboza,argentina,tradition,FÁCIL,¿Dónde nació Raúl Barboza?,Buenos Aires
oscar alem,argentina,tradition,INTERMEDIA,¿Qué instrumento tocó Oscar Alem antes de pasarse al piano?,Contrabajo
sajta de pollo,bolivia,dish,DIFÍCIL,¿En qué celebraciones mayores suele ser incluida la sajta de pollo y qué variantes se encuentran dependiendo de la región?,las celebraciones mayores como Todos los santos o Carnaval; diferentes variantes dependiendo de la región
majadito,bolivia,dish,FÁCIL,¿Qué es el majadito?,un plato típico de la gastronomía de Bolivia
Sopa de cacahuete,Bolivia,dish,INTERMEDIA,¿Con qué alimento se suele comer la sopa de cacahuete en Ghana?,Con fufu.
Pseudastur albicollis,Bolivia,fauna,DIFÍCIL,¿Cuántas subespecies de Pseudastur albicollis se conocen?,Se conocen cuatro subespecies.
spectrolebias bellidoi,bolivia,fauna,FÁCIL,¿Qué tipo de especie es Spectrolebias bellidoi?,una especie de pez ciprinodontiforme anual
acanthopoma annectens,bolivia,fauna,INTERMEDIA,¿Cuál es la longitud total que pueden alcanzar los machos de Acanthopoma annectens?,Pueden llegar alcanzar los 12 cm de longitud total.
parque regional yacuma,bolivia,geography,DIFÍCIL,¿Qué ecosistemas se encuentran en el Parque regional Yacuma y con qué otras áreas protegidas está asociado?,los ecosistemas de bosques preandinos y sabanas inundables; junto a la Reserva de biosfera Estación Biológica del Beni y la Zona de Protección de Cuencas Hidrográficas Eva Eva – Mosetenes
Laguna del Becerro,Bolivia,geography,FÁCIL,¿Qué tipo de lugar es la Laguna del Becerro?,una laguna
Laguna de San Nicolás,Bolivia,geography,INTERMEDIA,¿En qué municipio se encuentra la Laguna de San Nicolás?,el municipio de Caraparí
antonio ávila jiménez,bolivia,public_figure,DIFÍCIL,¿Qué relación tuvo Antonio Ávila Jiménez con la Guerra del Chaco y qué cargo ocupó en el servicio diplomático?,Se alistó voluntario en la Guerra del Chaco y fue cónsul de Bolivia en El Havre.
gary daher canedo,bolivia,public_figure,FÁCIL,¿Cuándo nació Gary Daher Canedo?,el 31 de octubre de 1956
josé antonio arze,bolivia,public_figure,INTERMEDIA,¿Qué partido político fundó José Antonio Arze?,El Partido de la Izquierda Revolucionaria (PIR).
Mauro Núñez,Bolivia,tradition,DIFÍCIL,¿Qué contribución significativa hizo Mauro Núñez al charango en el contexto de la música boliviana?,"Logró consolidar el charango como un instrumento de concierto, no solo de acompañamiento."
pepino (personaje),bolivia,tradition,FÁCIL,¿Qué es el pepino en el contexto cultural de Bolivia?,un personaje tradicional de Bolivia
