row_index,model,pais,Category,Difficulty,Question,Answer,response,score_embedding,judge_method,judge_raw,judge_prompt_version,judge_label,judge_stability,judge_consolidation
0,GPT,argentina,dish,DIFÍCIL,¿Qué características posee la Dorada Pampeana que balancean el dulzor de las maltas?,un cuerpo liviano y un sutil amargor,"La Dorada Pampeana presenta características como un amargor moderado, notas cítricas y herbales, así como un perfil de lúpulo que contrarresta el dulzor de las maltas, creando un equilibrio en su sabor.",0.381462037563324,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
1,GPT,argentina,dish,FÁCIL,¿Dónde nació Antonio Gonzaga?,Corrientes,Antonio Gonzaga nació en Italia.,0.0182333588600158,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
2,GPT,argentina,dish,INTERMEDIA,¿De qué ingredientes está hecho el Bamiyeh?,yogur y una masa a base de almidón,"El Bamiyeh, un plato típico de la cocina árabe, está hecho principalmente de okra, carne (generalmente cordero o ternera), cebolla, tomate, ajo y especias como comino y pimienta. A veces se le añade arroz o se sirve con él.",0.5597432851791382,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
3,GPT,argentina,fauna,DIFÍCIL,¿Qué características distintivas tiene el pelaje de Abrothrix lanosus y en qué tipo de hábitat se encuentra?,refiere a largo del pelaje; es endémico de los bosques fríos del extremo austral de Sudamérica,"El pelaje de Abrothrix lanosus es denso, lanoso y suave, con un color que varía entre gris y marrón. Este roedor se encuentra principalmente en hábitats de pastizales y matorrales en regiones montañosas de los Andes, especialmente en áreas de alta montaña.",0.4141130447387695,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
4,GPT,argentina,fauna,FÁCIL,¿Qué tipo de especie es Trachemys dorbigni?,Es una especie de tortuga.,Trachemys dorbigni es una especie de tortuga de agua dulce perteneciente a la familia Emydidae.,0.5992260575294495,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
5,GPT,argentina,fauna,INTERMEDIA,¿Dónde se encuentra Lysapsus limellum?,"en el centro del Brasil en los estados de Mato Grosso y Rondônia; en el Paraguay; en Bolivia en los departamentos del Beni, Cochabamba, La Paz, Santa Cruz, y Pando; en Argentina en las provincias de Buenos Aires, Corrientes, Chaco, Entre Ríos, Formosa, Santa Fe y Santiago del Estero; y en el Uruguay en las Termas del Arapey en Salto y en el departamento de Artigas.","Lysapsus limellum se encuentra en regiones de América del Sur, especialmente en áreas de Brasil y partes de los países vecinos.",0.4276109039783478,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
6,GPT,argentina,flora,DIFÍCIL,¿Qué características distintivas tiene Alstroemeria apertiflora y en qué bioma crece principalmente?,es un geófito tuberoso y crece principalmente en el bioma subtropical,"Alstroemeria apertiflora se caracteriza por sus flores grandes y coloridas, con pétalos que pueden ser de tonos amarillos, naranjas o rojos, y un centro con manchas oscuras. Esta planta crece principalmente en biomas de tipo montano y en regiones de clima templado, especialmente en áreas de Chile y Perú.",0.4194380640983581,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
7,GPT,argentina,flora,FÁCIL,¿Qué tipo de planta es Tillandsia peiranoi?,Es una especie de planta epífita.,Tillandsia peiranoi es una planta epífita de la familia Bromeliaceae.,0.5198662281036377,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
8,GPT,argentina,flora,INTERMEDIA,¿Dónde es endémica Echinopsis thelegona?,noroeste de Argentina,Echinopsis thelegona es endémica de Bolivia.,0.4116550087928772,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
9,GPT,argentina,geography,DIFÍCIL,¿Qué características geográficas y oceanográficas tiene la bahía Relegada?,tiene una profundidad de alrededor de 3000 metros y una superficie total de 158 ha,"La bahía Relegada, ubicada en la costa de Chile, se caracteriza por ser una bahía semi-cerrada con aguas relativamente tranquilas. Sus características geográficas incluyen acantilados y una costa rocosa, mientras que en términos oceanográficos, presenta una mezcla de aguas frías y corrientes que influyen en su biodiversidad marina. Además, la bahía suele estar influenciada por fenómenos como las mareas y las corrientes costeras.",0.1886481642723083,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
10,GPT,argentina,geography,FÁCIL,¿Qué fue el corregimiento de Aconcagua?,Una división territorial del Imperio español dentro de la Capitanía General de Chile.,"El corregimiento de Aconcagua fue una división administrativa colonial en el Virreinato del Perú, ubicada en la actual región de Valparaíso, Chile. Su nombre proviene del río Aconcagua y fue establecido durante el periodo de la colonización española en América. Este corregimiento tenía funciones de gobierno local y justicia, y su administración estaba a cargo de un corregidor.",0.5620298385620117,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
11,GPT,argentina,geography,INTERMEDIA,¿Dónde se encuentra la bahía Golondrina?,en la margen septentrional del canal Beagle,"La bahía Golondrina se encuentra en la costa de la provincia de Chubut, Argentina, en la región de la Patagonia.",0.1259059160947799,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
