pais,model,n_judged,n_correcta,pct_correcta,n_parcial,pct_parcial,n_alucinacion,pct_alucinacion,n_abstencion,pct_abstencion,judge_prompt_version
argentina,Claude,15,5,33.33,2,13.33,3,20.0,5,33.33,v2_fixed_system_prompt
bolivia,Claude,15,4,26.67,4,26.67,3,20.0,4,26.67,v2_fixed_system_prompt
chile,Claude,15,3,20.0,7,46.67,1,6.67,4,26.67,v2_fixed_system_prompt
colombia,Claude,15,5,33.33,4,26.67,3,20.0,3,20.0,v2_fixed_system_prompt
costa rica,Claude,15,6,40.0,4,26.67,4,26.67,1,6.67,v2_fixed_system_prompt
cuba,Claude,15,4,26.67,6,40.0,4,26.67,1,6.67,v2_fixed_system_prompt
ecuador,Claude,15,2,13.33,8,53.33,3,20.0,2,13.33,v2_fixed_system_prompt
el salvador,Claude,15,3,20.0,8,53.33,3,20.0,1,6.67,v2_fixed_system_prompt
guatemala,Claude,15,2,13.33,7,46.67,6,40.0,0,0.0,v2_fixed_system_prompt
honduras,Claude,15,1,6.67,4,26.67,6,40.0,4,26.67,v2_fixed_system_prompt
mexico,Claude,15,4,26.67,5,33.33,3,20.0,3,20.0,v2_fixed_system_prompt
nicaragua,Claude,15,4,26.67,4,26.67,3,20.0,4,26.67,v2_fixed_system_prompt
panama,Claude,15,2,13.33,6,40.0,4,26.67,3,20.0,v2_fixed_system_prompt
paraguay,Claude,15,2,13.33,6,40.0,4,26.67,3,20.0,v2_fixed_system_prompt
peru,Claude,15,9,60.0,2,13.33,3,20.0,1,6.67,v2_fixed_system_prompt
republica dominicana,Claude,15,3,20.0,7,46.67,3,20.0,2,13.33,v2_fixed_system_prompt
uruguay,Claude,15,2,13.33,7,46.67,3,20.0,3,20.0,v2_fixed_system_prompt
venezuela,Claude,15,3,20.0,2,13.33,6,40.0,4,26.67,v2_fixed_system_prompt
argentina,GPT,15,2,13.33,5,33.33,8,53.33,0,0.0,v2_fixed_system_prompt
bolivia,GPT,15,2,13.33,8,53.33,4,26.67,1,6.67,v2_fixed_system_prompt
chile,GPT,15,2,13.33,9,60.0,4,26.67,0,0.0,v2_fixed_system_prompt
colombia,GPT,15,4,26.67,5,33.33,6,40.0,0,0.0,v2_fixed_system_prompt
costa rica,GPT,15,4,26.67,6,40.0,5,33.33,0,0.0,v2_fixed_system_prompt
cuba,GPT,15,7,46.67,3,20.0,5,33.33,0,0.0,v2_fixed_system_prompt
ecuador,GPT,15,3,20.0,9,60.0,3,20.0,0,0.0,v2_fixed_system_prompt
el salvador,GPT,15,3,20.0,10,66.67,2,13.33,0,0.0,v2_fixed_system_prompt
guatemala,GPT,15,3,20.0,5,33.33,7,46.67,0,0.0,v2_fixed_system_prompt
honduras,GPT,15,3,20.0,6,40.0,6,40.0,0,0.0,v2_fixed_system_prompt
mexico,GPT,15,3,20.0,6,40.0,6,40.0,0,0.0,v2_fixed_system_prompt
nicaragua,GPT,15,2,13.33,6,40.0,6,40.0,1,6.67,v2_fixed_system_prompt
panama,GPT,15,2,13.33,7,46.67,6,40.0,0,0.0,v2_fixed_system_prompt
paraguay,GPT,15,6,40.0,5,33.33,4,26.67,0,0.0,v2_fixed_system_prompt
peru,GPT,15,3,20.0,10,66.67,2,13.33,0,0.0,v2_fixed_system_prompt
republica dominicana,GPT,15,5,33.33,8,53.33,2,13.33,0,0.0,v2_fixed_system_prompt
uruguay,GPT,15,3,20.0,6,40.0,6,40.0,0,0.0,v2_fixed_system_prompt
venezuela,GPT,15,3,20.0,3,20.0,7,46.67,2,13.33,v2_fixed_system_prompt
