row_index,pais,model,judge_label,judge_prompt_version,judge_run_id
0,argentina,GPT,parcial,v2_fixed_system_prompt,2
1,argentina,GPT,alucinacion,v2_fixed_system_prompt,2
2,argentina,GPT,alucinacion,v2_fixed_system_prompt,2
3,argentina,GPT,parcial,v2_fixed_system_prompt,2
4,argentina,GPT,correcta,v2_fixed_system_prompt,2
5,argentina,GPT,parcial,v2_fixed_system_prompt,2
6,argentina,GPT,parcial,v2_fixed_system_prompt,2
7,argentina,GPT,correcta,v2_fixed_system_prompt,2
8,argentina,GPT,alucinacion,v2_fixed_system_prompt,2
9,argentina,GPT,alucinacion,v2_fixed_system_prompt,2
10,argentina,GPT,parcial,v2_fixed_system_prompt,2
11,argentina,GPT,alucinacion,v2_fixed_system_prompt,2
12,argentina,GPT,alucinacion,v2_fixed_system_prompt,2
13,argentina,GPT,alucinacion,v2_fixed_system_prompt,2
14,argentina,GPT,alucinacion,v2_fixed_system_prompt,2
15,bolivia,GPT,parcial,v2_fixed_system_prompt,2
16,bolivia,GPT,correcta,v2_fixed_system_prompt,2
17,bolivia,GPT,parcial,v2_fixed_system_prompt,2
18,bolivia,GPT,parcial,v2_fixed_system_prompt,2
19,bolivia,GPT,parcial,v2_fixed_system_prompt,2
20,bolivia,GPT,alucinacion,v2_fixed_system_prompt,2
21,bolivia,GPT,parcial,v2_fixed_system_prompt,2
22,bolivia,GPT,correcta,v2_fixed_system_prompt,2
23,bolivia,GPT,alucinacion,v2_fixed_system_prompt,2
24,bolivia,GPT,alucinacion,v2_fixed_system_prompt,2
25,bolivia,GPT,abstencion,v2_fixed_system_prompt,2
26,bolivia,GPT,alucinacion,v2_fixed_system_prompt,2
27,bolivia,GPT,parcial,v2_fixed_system_prompt,2
28,bolivia,GPT,parcial,v2_fixed_system_prompt,2
29,bolivia,GPT,parcial,v2_fixed_system_prompt,2
30,chile,GPT,parcial,v2_fixed_system_prompt,2
31,chile,GPT,alucinacion,v2_fixed_system_prompt,2
32,chile,GPT,parcial,v2_fixed_system_prompt,2
33,chile,GPT,parcial,v2_fixed_system_prompt,2
34,chile,GPT,parcial,v2_fixed_system_prompt,2
35,chile,GPT,parcial,v2_fixed_system_prompt,2
36,chile,GPT,parcial,v2_fixed_system_prompt,2
37,chile,GPT,parcial,v2_fixed_system_prompt,2
38,chile,GPT,correcta,v2_fixed_system_prompt,2
39,chile,GPT,parcial,v2_fixed_system_prompt,2
40,chile,GPT,correcta,v2_fixed_system_prompt,2
41,chile,GPT,alucinacion,v2_fixed_system_prompt,2
42,chile,GPT,parcial,v2_fixed_system_prompt,2
43,chile,GPT,alucinacion,v2_fixed_system_prompt,2
44,chile,GPT,alucinacion,v2_fixed_system_prompt,2
45,colombia,GPT,parcial,v2_fixed_system_prompt,2
46,colombia,GPT,parcial,v2_fixed_system_prompt,2
47,colombia,GPT,alucinacion,v2_fixed_system_prompt,2
48,colombia,GPT,parcial,v2_fixed_system_prompt,2
