pais,model,rank_en_pais,Question,Answer,response,score,Category,Difficulty
argentina,GPT,1,¿Qué instrumento tocó Oscar Alem antes de pasarse al piano?,Contrabajo,Oscar Alem tocó el acordeón antes de pasarse al piano.,0.0145306568592786,tradition,INTERMEDIA
argentina,GPT,2,¿Dónde nació Antonio Gonzaga?,Corrientes,Antonio Gonzaga nació en Italia.,0.0182333588600158,dish,FÁCIL
argentina,GPT,3,¿Dónde se encuentra la bahía Golondrina?,en la margen septentrional del canal Beagle,"La bahía Golondrina se encuentra en la costa de la provincia de Chubut, Argentina, en la región de la Patagonia.",0.1259059160947799,geography,INTERMEDIA
argentina,GPT,4,¿Qué características geográficas y oceanográficas tiene la bahía Relegada?,tiene una profundidad de alrededor de 3000 metros y una superficie total de 158 ha,"La bahía Relegada, ubicada en la costa de Chile, se caracteriza por ser una bahía semi-cerrada con aguas relativamente tranquilas. Sus características geográficas incluyen acantilados y una costa rocosa, mientras que en términos oceanográficos, presenta una mezcla de aguas frías y corrientes que influyen en su biodiversidad marina. Además, la bahía suele estar influenciada por fenómenos como las mareas y las corrientes costeras.",0.1886481642723083,geography,DIFÍCIL
argentina,GPT,5,¿Dónde nació Raúl Barboza?,Buenos Aires,"Raúl Barboza nació en Formosa, Argentina.",0.3337393999099731,tradition,FÁCIL
chile,GPT,1,¿En qué año fue fundado el Festival Internacional de Teatro Itinerante por Chiloé Profundo?,el año 2010.,El Festival Internacional de Teatro Itinerante por Chiloé Profundo fue fundado en 2003.,0.1423538923263549,tradition,INTERMEDIA
chile,GPT,2,¿En qué institución trabajó Próspero Bisquertt Prado entre los años 1913 y 1923?,Trabajó en la Dirección General de Impuestos Internos.,Próspero Bisquertt Prado trabajó en la Universidad de Chile entre 1913 y 1923.,0.14777871966362,public_figure,INTERMEDIA
chile,GPT,3,¿Qué tipo de lugar es Puerto Río Tranquilo?,una pequeña aldea,"Puerto Río Tranquilo es una localidad ubicada en la Región de Aysén, Chile, conocida por su belleza natural, especialmente por las formaciones de mármol en el Lago General Carrera y su entorno de montañas y bosques. Es un destino turístico popular para actividades al aire libre como el senderismo y el kayak.",0.1481734216213226,geography,FÁCIL
chile,GPT,4,¿Qué nombre común recibe el Choromytilus chorus?,choro zapato y choro maltón,"El Choromytilus chorus es comúnmente conocido como ""mejillón chileno"".",0.172441691160202,dish,FÁCIL
chile,GPT,5,¿Qué tipo de especie es Alstroemeria huemulina?,una especie fanerógama,Alstroemeria huemulina es una especie de planta herbácea perenne perteneciente a la familia Alstroemeriaceae.,0.2547516226768493,flora,FÁCIL
