pais,model,pct_alucinacion_observado,pct_alucinacion_esperado_por_mezcla,residual_alucinacion,n_total,confiable,hard_category_share,hard_category_share_global,hard_category_overrepresentation,top_overrepresented_category,top_overrepresentation_delta,interpretacion
guatemala,Claude,40.0,23.66,16.34,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion peor de lo que explica la mezcla de categorias
honduras,Claude,40.0,23.66,16.34,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion peor de lo que explica la mezcla de categorias
venezuela,Claude,40.0,24.77,15.23,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,alucinacion peor de lo que explica la mezcla de categorias
paraguay,Claude,26.67,21.85,4.82,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,alucinacion peor de lo que explica la mezcla de categorias
costa rica,Claude,26.67,23.66,3.01,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion peor de lo que explica la mezcla de categorias
cuba,Claude,26.67,24.77,1.9,15,True,0.0,0.2111111111111111,-0.2111111111111111,object,0.13333333333333336,sub-representacion de categorias dificiles
panama,Claude,26.67,24.77,1.9,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,mezcla de categorias alineada con el promedio global
mexico,Claude,20.0,21.44,-1.44,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,mezcla de categorias alineada con el promedio global
argentina,Claude,20.0,23.66,-3.66,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion mejor de lo que explica la mezcla de categorias
ecuador,Claude,20.0,23.66,-3.66,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion mejor de lo que explica la mezcla de categorias
el salvador,Claude,20.0,23.66,-3.66,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion mejor de lo que explica la mezcla de categorias
nicaragua,Claude,20.0,23.66,-3.66,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion mejor de lo que explica la mezcla de categorias
peru,Claude,20.0,23.66,-3.66,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion mejor de lo que explica la mezcla de categorias
uruguay,Claude,20.0,23.66,-3.66,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion mejor de lo que explica la mezcla de categorias
republica dominicana,Claude,20.0,24.77,-4.77,15,True,0.0,0.2111111111111111,-0.2111111111111111,object,0.13333333333333336,sub-representacion de categorias dificiles; alucinacion mejor de lo que explica la mezcla de categorias
bolivia,Claude,20.0,26.99,-6.99,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); alucinacion mejor de lo que explica la mezcla de categorias; categoria mas sobre-representada: public_figure"
colombia,Claude,20.0,26.99,-6.99,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); alucinacion mejor de lo que explica la mezcla de categorias; categoria mas sobre-representada: public_figure"
chile,Claude,6.67,24.07,-17.4,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); alucinacion mejor de lo que explica la mezcla de categorias; categoria mas sobre-representada: public_figure"
argentina,GPT,53.33,30.89,22.44,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion peor de lo que explica la mezcla de categorias
guatemala,GPT,46.67,30.89,15.78,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion peor de lo que explica la mezcla de categorias
venezuela,GPT,46.67,34.07,12.6,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,alucinacion peor de lo que explica la mezcla de categorias
honduras,GPT,40.0,30.89,9.11,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion peor de lo que explica la mezcla de categorias
nicaragua,GPT,40.0,30.89,9.11,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion peor de lo que explica la mezcla de categorias
uruguay,GPT,40.0,30.89,9.11,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion peor de lo que explica la mezcla de categorias
mexico,GPT,40.0,32.33,7.67,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,alucinacion peor de lo que explica la mezcla de categorias
panama,GPT,40.0,34.07,5.93,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,alucinacion peor de lo que explica la mezcla de categorias
costa rica,GPT,33.33,30.89,2.44,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,mezcla de categorias alineada con el promedio global
colombia,GPT,40.0,38.51,1.49,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); categoria mas sobre-representada: public_figure"
cuba,GPT,33.33,32.28,1.05,15,True,0.0,0.2111111111111111,-0.2111111111111111,object,0.13333333333333336,sub-representacion de categorias dificiles
paraguay,GPT,26.67,34.37,-7.7,15,True,0.2,0.2111111111111111,-0.0111111111111111,object,0.13333333333333336,alucinacion mejor de lo que explica la mezcla de categorias
ecuador,GPT,20.0,30.89,-10.89,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion mejor de lo que explica la mezcla de categorias
bolivia,GPT,26.67,38.51,-11.84,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); alucinacion mejor de lo que explica la mezcla de categorias; categoria mas sobre-representada: public_figure"
chile,GPT,26.67,38.81,-12.14,15,True,0.4,0.2111111111111111,0.1888888888888889,public_figure,0.16666666666666669,"sobre-representacion de categorias dificiles (public_figure, tradition); alucinacion mejor de lo que explica la mezcla de categorias; categoria mas sobre-representada: public_figure"
el salvador,GPT,13.33,30.89,-17.56,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion mejor de lo que explica la mezcla de categorias
peru,GPT,13.33,30.89,-17.56,15,True,0.2,0.2111111111111111,-0.0111111111111111,flora,0.04444444444444445,alucinacion mejor de lo que explica la mezcla de categorias
republica dominicana,GPT,13.33,32.28,-18.95,15,True,0.0,0.2111111111111111,-0.2111111111111111,object,0.13333333333333336,sub-representacion de categorias dificiles; alucinacion mejor de lo que explica la mezcla de categorias
